match_id,date,map,map_number,team_A,team_B,winner,team_A_rank,team_B_rank,rank_diff,abs_rank_diff,picked_by_is_A,is_decider,map_winrate_A,map_winrate_B,recent_form_A,recent_form_B,winner_is_A,split_row,split_match,elo_diff,map_elo_diff,h2h_rate,h2h_games,momentum_diff,streak_A,streak_B,days_since_last_A,days_since_last_B,overall_winrate_A,overall_winrate_B,winrate_diff,opponent_strength_A,opponent_strength_B,map_games_A,map_games_B,map_experience_diff
76913,2025-04-05,Anubis,7,TYLOO,The Huns,TYLOO,9,51,-42,42,0,1,1.0,0.5,1.0,0.5,1,train,train,31.26369320647791,20.0,0.5,0,0.5,2,0,4,30,1.0,0.5,0.5,1484.368153396761,1500.0,1,0,1
76902,2025-04-05,Inferno,7,The Huns,TYLOO,TYLOO,51,9,42,42,0,1,0.5,0.5,0.0,1.0,0,train,train,-60.39194744992528,0.0,0.0,1,0.0,-1,3,0,0,0.0,1.0,-1.0,1545.8278203282016,1484.7240598905994,0,0,0
85824,2025-04-06,Nuke,3,Liquid,Legacy,Legacy,27,19,8,8,0,0,0.5,0.5,0.0,1.0,0,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85826,2025-04-06,Train,7,FaZe,Astralis,Astralis,12,11,1,1,0,1,0.5,0.5,0.5,0.5,0,val,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85821,2025-04-06,Ancient,4,Virtus.pro,Rare Atom,Rare Atom,18,36,-18,18,1,0,0.5,0.5,0.0,0.5,0,train,train,16.0,0.0,0.5,0,0.0,0,-1,30,12,0.5,0.0,0.5,1500.0,1516.0,0,0,0
86028,2025-04-06,Inferno,3,Imperial,Fluxo,Imperial,34,46,-12,12,0,0,0.5,0.5,1.0,0.0,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85826,2025-04-06,Dust2,4,FaZe,Astralis,FaZe,12,11,1,1,1,0,0.5,0.5,0.0,1.0,1,train,train,-32.0,0.0,0.0,1,0.0,-1,1,0,0,0.0,1.0,-1.0,1516.0,1484.0,0,0,0
85825,2025-04-06,Inferno,4,Aurora,paiN,paiN,6,17,-11,11,1,0,0.5,0.5,0.7,0.0,0,test,train,66.32783940288277,-1.150022555690839,0.5,0,0.0,-2,0,4,30,0.7,0.5,0.19999999999999996,1500.4563838523914,1500.0,2,0,2
85822,2025-04-06,Dust2,4,Falcons,Complexity,Complexity,5,51,-46,46,1,0,0.5,0.5,0.5,1.0,0,train,train,-16.296404785330196,0.0,0.5,0,0.0,0,1,30,4,0.5,1.0,-0.5,1500.0,1490.1406797899524,0,0,0
86022,2025-04-06,Nuke,3,9z,KRÜ,KRÜ,50,51,-1,1,0,0,0.0,0.5,0.3333333333333333,0.5,0,train,train,-14.665841335391633,-20.0,0.5,0,-0.5,-1,0,2,30,0.3333333333333333,0.5,-0.16666666666666669,1509.7321132688055,1500.0,1,0,1
86022,2025-04-06,Dust2,4,9z,KRÜ,9z,50,51,-1,1,1,0,1.0,0.5,0.25,1.0,1,val,train,-45.31586914008494,20.0,0.0,1,0.5,-2,1,0,0,0.25,1.0,-0.75,1511.1303384271907,1470.0091447622617,1,0,1
85822,2025-04-06,Train,3,Falcons,Complexity,Complexity,5,51,-46,46,0,0,0.5,0.5,0.0,1.0,0,test,train,-46.79655019950269,0.0,0.0,1,0.0,-1,2,0,0,0.0,1.0,-1.0,1531.5464774924164,1487.445303541433,0,0,0
85825,2025-04-06,Dust2,7,Aurora,paiN,Aurora,6,17,-11,11,0,1,0.5,0.5,0.7,0.0,1,train,train,28.2919687257247,0.0,0.0,1,0.0,-3,1,0,0,0.6,1.0,-0.4,1505.255775947045,1547.3099040643037,0,0,0
86016,2025-04-06,Anubis,4,BESTIA,Bounty Hunters,BESTIA,53,51,2,2,1,0,0.5,0.5,1.0,0.0,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85826,2025-04-06,Ancient,3,FaZe,Astralis,Astralis,12,11,1,1,0,0,0.5,0.5,0.5,0.5,0,train,train,2.9390030579511404,0.0,0.5,2,0.0,1,-1,0,0,0.5,0.5,0.0,1507.2652492355123,1492.7347507644877,0,0,0
85823,2025-04-06,Mirage,3,G2,GamerLegion,G2,15,16,-1,1,0,0,0.5,0.5,0.3333333333333333,0.0,1,train,train,-30.53049847102443,0.0,0.5,0,0.0,-2,0,9,30,0.0,0.5,-0.5,1523.2652492355123,1500.0,0,0,0
85827,2025-04-06,Mirage,4,FURIA,Betclic,FURIA,10,51,-41,41,0,0,0.5,0.5,0.5,0.5,1,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85827,2025-04-06,Dust2,3,FURIA,Betclic,FURIA,10,51,-41,41,1,0,0.5,0.5,1.0,0.0,1,val,train,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
86028,2025-04-06,Dust2,4,Imperial,Fluxo,Imperial,34,46,-12,12,1,0,0.5,0.5,0.5,0.5,1,train,train,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
85820,2025-04-06,Anubis,7,The MongolZ,3DMAX,3DMAX,3,8,-5,5,0,1,0.5,0.5,0.5,0.5,0,train,train,0.0,0.0,0.5,0,0.0,0,0,30,30,0.5,0.5,0.0,1500.0,1500.0,0,0,0
85820,2025-04-06,Inferno,4,The MongolZ,3DMAX,3DMAX,3,8,-5,5,0,0,0.5,0.5,1.0,0.0,0,train,train,-32.0,0.0,0.0,1,0.0,-1,1,0,0,0.0,1.0,-1.0,1516.0,1484.0,0,0,0
85820,2025-04-06,Ancient,3,The MongolZ,3DMAX,The MongolZ,3,8,-5,5,1,0,0.5,0.5,0.5,0.5,1,train,train,-61.06099694204886,0.0,0.0,2,0.0,-2,2,0,0,0.0,1.0,-1.0,1523.2652492355123,1476.7347507644877,0,0,0
86016,2025-04-06,Dust2,3,BESTIA,Bounty Hunters,BESTIA,53,51,2,2,0,0,0.5,0.5,0.5,0.5,1,test,train,32.0,0.0,1.0,1,0.0,1,-1,0,0,1.0,0.0,1.0,1484.0,1516.0,0,0,0
85824,2025-04-06,Anubis,4,Liquid,Legacy,Legacy,27,19,8,8,1,0,0.5,0.5,0.5,0.5,0,train,train,-32.0,0.0,0.0,1,0.0,-1,1,0,0,0.0,1.0,-1.0,1516.0,1484.0,0,0,0
85821,2025-04-06,Mirage,3,Virtus.pro,Rare Atom,Rare Atom,18,36,-18,18,0,0,0.5,0.5,0.5,0.0,0,train,train,-17.47261358704418,0.0,0.0,1,0.0,-1,1,0,0,0.0,0.5,-0.5,1500.736306793522,1499.631846603239,0,0,0
85823,2025-04-06,Inferno,4,G2,GamerLegion,G2,15,16,-1,1,1,0,0.0,0.5,0.0,0.5,1,train,train,4.274248825787481,-20.0,1.0,1,-0.5,1,-1,0,0,0.3333333333333333,0.0,0.3333333333333333,1509.709374940873,1486.8718751773815,1,0,1
85825,2025-04-06,Nuke,3,Aurora,paiN,Aurora,6,17,-11,11,0,0,0.75,0.5,0.7,0.5,1,train,train,57.69192651218896,40.955900531953375,0.5,2,0.25,1,-1,0,0,0.6,0.5,0.09999999999999998,1504.1597013166584,1554.6598935109198,4,0,4
85839,2025-04-07,Ancient,4,3DMAX,Astralis,Astralis,8,11,-3,3,0,0,0.0,1.0,0.6666666666666666,0.6666666666666666,0,train,train,-2.918707701780704,-40.0,0.5,0,-1.0,-1,1,1,1,0.6666666666666666,0.6666666666666666,0.0,1480.574122631788,1490.2678867311945,1,1,0
85839,2025-04-07,Dust2,3,3DMAX,Astralis,3DMAX,8,11,-3,3,1,0,0.5,0.0,0.6,0.6,1,test,train,-34.64989111159798,20.0,0.0,1,0.5,-2,2,0,0,0.5,0.75,-0.25,1493.0634502339162,1491.6713005305714,0,1,-1
85837,2025-04-07,Dust2,4,Liquid,Virtus.pro,Virtus.pro,27,18,9,9,0,0,0.5,0.5,0.0,0.3333333333333333,0,train,train,1.4018423884954245,0.0,0.5,0,0.0,-2,-2,1,1,0.0,0.0,0.0,1523.2652492355123,1508.334323826521,0,0,0
85837,2025-04-07,Mirage,3,Liquid,Virtus.pro,Virtus.pro,27,18,9,9,1,0,0.5,0.0,0.0,0.0,0,train,train,-30.727271366314653,20.0,0.0,1,0.5,-3,1,0,0,0.0,0.3333333333333333,-0.3333333333333333,1510.2209048296365,1490.0245307682042,0,1,-1
85839,2025-04-07,Inferno,7,3DMAX,Astralis,3DMAX,8,11,-3,3,0,1,1.0,0.5,0.5,0.75,1,train,train,0.5309430959939618,20.0,0.5,2,0.5,1,-1,0,0,0.6,0.6,0.0,1497.038963374434,1496.0314322309569,1,0,1
85838,2025-04-07,Anubis,4,Aurora,Legacy,Aurora,6,19,-13,13,1,0,0.5,1.0,0.6,1.0,1,train,train,44.84672535443747,-20.065968938620927,0.5,0,-0.5,2,2,1,1,0.6,1.0,-0.4,1503.1128343540618,1476.7347507644877,2,1,1
85838,2025-04-07,Mirage,3,Aurora,Legacy,Aurora,6,19,-13,13,0,0,0.5,0.5,0.7,0.6666666666666666,1,train,train,72.73897768498387,-1.2640639529288364,1.0,1,0.0,3,-1,0,0,0.7,0.6666666666666666,0.033333333333333326,1502.6915033595808,1514.2642838399036,6,0,6
85835,2025-04-07,Dust2,3,G2,Rare Atom,G2,15,36,-21,21,1,0,0.5,0.5,0.5,0.6666666666666666,1,train,train,-13.257292185202687,0.0,0.5,0,0.0,2,2,1,1,0.5,0.6666666666666666,-0.16666666666666663,1498.9806444193193,1489.1104507823193,0,0,0
85840,2025-04-07,Nuke,4,The MongolZ,Betclic,Betclic,3,51,-48,48,0,0,0.5,0.5,0.25,0.3333333333333333,0,train,test,18.7833648374135,0.0,0.5,0,0.0,1,-2,1,1,0.3333333333333333,0.0,0.3333333333333333,1519.425877368212,1523.2652492355123,0,0,0
85840,2025-04-07,Ancient,3,The MongolZ,Betclic,Betclic,3,51,-48,48,1,0,1.0,0.5,0.3333333333333333,0.0,0,train,test,-14.94496347628592,20.0,0.0,1,0.5,-1,1,0,0,0.25,0.3333333333333333,-0.08333333333333331,1511.1528244476153,1505.9730668935215,1,0,1
85841,2025-04-07,Dust2,3,FURIA,Complexity,FURIA,10,51,-41,41,1,0,1.0,1.0,0.5,1.0,1,train,test,-14.873856550606433,0.0,0.5,0,0.0,2,3,1,1,1.0,1.0,0.0,1476.7347507644877,1481.9275522821883,1,1,0
85841,2025-04-07,Train,4,FURIA,Complexity,Complexity,10,51,-41,41,0,0,0.5,1.0,0.6666666666666666,1.0,0,test,test,18.495239971385217,-20.0,1.0,1,-0.5,3,-1,0,0,1.0,0.75,0.25,1494.0631027632035,1498.2494258946463,0,1,-1
85841,2025-04-07,Inferno,7,FURIA,Complexity,Complexity,10,51,-41,41,0,1,0.5,0.5,1.0,1.0,0,test,test,-15.206627294446662,0.0,0.5,2,0.0,-1,1,0,0,0.75,0.8,-0.050000000000000044,1506.9400121707904,1504.672363335538,0,0,0
85835,2025-04-07,Ancient,4,G2,Rare Atom,G2,15,36,-21,21,0,0,0.5,1.0,0.6,0.5,1,train,train,19.963157282270686,-20.0,1.0,1,-0.5,3,-1,0,0,0.6,0.5,0.09999999999999998,1499.0489387606121,1496.654156438753,0,1,-1
